GeneID,TruePE,PsuedoPE,gene_biotype
ENSMUSG00000000001,  3013.00,4430.21620627057,protein_coding
ENSMUSG00000000028,  1347.00,2003.6542446287735,protein_coding
ENSMUSG00000000031,  2119.00,3133.12729372453,lincRNA
ENSMUSG00000000037,    96.00,140.53945473908385,protein_coding
ENSMUSG00000000056,   205.00,306.86596539359596,protein_coding
ENSMUSG00000000078,   509.00,754.2713855262757,protein_coding
ENSMUSG00000000085,   240.00,363.59748840753804,protein_coding
ENSMUSG00000000088,  3188.93,4444.048442876682,protein_coding
ENSMUSG00000000120,    84.00,132.80333796445538,protein_coding
ENSMUSG00000000126,    57.00,86.38663731668457,protein_coding
ENSMUSG00000000127,   312.00,452.56283131576544,protein_coding
ENSMUSG00000000131,   860.43,1266.144445447526,protein_coding
ENSMUSG00000000134,   667.00,1018.588708659415,protein_coding
ENSMUSG00000000142,   261.00,389.3845443229663,protein_coding
ENSMUSG00000000148,   193.00,304.2872598020531,protein_coding
ENSMUSG00000000149,   360.97,550.5526863558191,protein_coding
ENSMUSG00000000154,     5.00,7.736116774628469,protein_coding
ENSMUSG00000000167,    27.00,39.96993666891375,protein_coding
ENSMUSG00000000168,   797.00,1174.6003969477558,protein_coding
ENSMUSG00000000171,  4799.00,7185.563130834076,protein_coding
ENSMUSG00000000184,    43.00,59.31022860548493,protein_coding
ENSMUSG00000000194,   705.70,1049.4619245133224,protein_coding
ENSMUSG00000000244,    26.09,30.944467098513876,protein_coding
ENSMUSG00000000253,    39.00,51.57411183085646,protein_coding
ENSMUSG00000000275,   890.00,1282.9060317925544,protein_coding
ENSMUSG00000000276,   461.00,629.2041643364488,protein_coding
ENSMUSG00000000278,   896.00,1188.7832777012413,protein_coding
ENSMUSG00000000282,   239.00,346.8359020625097,protein_coding
ENSMUSG00000000295,   597.00,780.058441441704,protein_coding
ENSMUSG00000000296,   319.00,426.7757754003372,protein_coding
ENSMUSG00000000301,    85.00,118.64842361517543,protein_coding
ENSMUSG00000000303,  3012.00,4417.322678312856,protein_coding
ENSMUSG00000000305,    76.00,117.33110441519844,protein_coding
ENSMUSG00000000308,    74.00,110.88434043634139,protein_coding
ENSMUSG00000000317,    39.00,59.31022860548493,protein_coding
ENSMUSG00000000320,    18.00,27.07640871119964,protein_coding
ENSMUSG00000000325,   437.51,670.9596089903262,protein_coding
ENSMUSG00000000326,   230.39,424.7530015300561,protein_coding
ENSMUSG00000000339,   612.96,885.3423271617818,protein_coding
ENSMUSG00000000340,   584.00,850.9728452091316,protein_coding
ENSMUSG00000000346,   486.00,728.4843296108475,protein_coding
ENSMUSG00000000355,  2817.00,4043.4103675391466,protein_coding
ENSMUSG00000000365,  1428.00,2070.700590008887,protein_coding
ENSMUSG00000000374,   196.00,291.393731844339,protein_coding
ENSMUSG00000000378,   366.00,524.7665878789645,protein_coding
ENSMUSG00000000384,   809.67,1166.1901358775435,protein_coding
ENSMUSG00000000399,  3062.00,4539.8111939111395,protein_coding
ENSMUSG00000000402,   517.00,752.9820327305043,protein_coding
ENSMUSG00000000409,   240.00,350.7039604498239,protein_coding
ENSMUSG00000000420,  1563.00,2278.286390128084,protein_coding
ENSMUSG00000000439,   452.69,645.5949626672199,protein_coding
ENSMUSG00000000441,   833.19,1217.384181783478,protein_coding
ENSMUSG00000000486,   898.00,1272.591209426383,protein_coding
ENSMUSG00000000489,    68.00,92.83340129554162,protein_coding
ENSMUSG00000000530,     5.00,10.314822366171292,protein_coding
ENSMUSG00000000531,    81.00,110.88434043634139,protein_coding
